"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-02 01:58:52",1759370332147,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/favicon.ico","GET","",200,"2mpck-1759370331989-151aa8c4100e","vercel-screenshot/1.0","info","production","main","PRERENDER","static","/favicon.ico","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","","",-1
"2025-10-02 01:58:52",1759370332141,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/favicon.ico","GET","",200,"5f99w-1759370331901-aafc68a4d6d6","vercel-screenshot/1.0","info","production","main","PRERENDER","static","/favicon.ico","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","","",-1
"2025-10-02 01:58:51",1759370331826,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/login","GET","",200,"96vz7-1759370331761-981a46b9812a","vercel-screenshot/1.0","info","production","main","","lambda","/login","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",15,"iad1",137,2048,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9HNJ5SKHP16VV79TSN33","5wdzILbWBPXt",1
"2025-10-02 01:58:51",1759370331766,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/login","GET","",200,"96vz7-1759370331761-981a46b9812a","vercel-screenshot/1.0","info","production","main","","edge-middleware","/src/middleware","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"sfo1",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9HKPMV9BVR4W41JV610D","GiRyeZcQAglq",-1
"2025-10-02 01:58:51",1759370331689,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/","GET","",307,"96vz7-1759370331593-eeb692ce0dd4","vercel-screenshot/1.0","info","production","main","","lambda","/","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",19,"iad1",137,2048,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9HH9ZDBJF4JTBTX9T2VM","5wdzILbWBPXt",1
"2025-10-02 01:58:51",1759370331597,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/","GET","",200,"96vz7-1759370331593-eeb692ce0dd4","vercel-screenshot/1.0","info","production","main","","edge-middleware","/src/middleware","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"sfo1",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9HEDER4JVPFVJ4P026KS","GiRyeZcQAglq",-1
"2025-10-02 01:58:51",1759370331545,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/login","GET","",200,"kbxxk-1759370331477-1a698c38c42a","vercel-screenshot/1.0","info","production","main","","lambda","/login","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",26,"iad1",137,2048,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9HCSDJK87XM81MX0N2M3","5wdzILbWBPXt",1
"2025-10-02 01:58:51",1759370331484,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/login","GET","",200,"kbxxk-1759370331477-1a698c38c42a","vercel-screenshot/1.0","info","production","main","","edge-middleware","/src/middleware","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"sfo1",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9HAW1110Y5Y1VGZ5SPKW","GiRyeZcQAglq",-1
"2025-10-02 01:58:51",1759370331413,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/login","GET","",200,"64ln2-1759370331232-91ccca1a3934","vercel-screenshot/1.0","info","production","main","","lambda","/login","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",61,"iad1",137,2048,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9H8N4BJQXEGRVDS59CCY","5wdzILbWBPXt",1
"2025-10-02 01:58:51",1759370331394,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/","GET","",307,"dkmzt-1759370331264-9cc069e44aaf","vercel-screenshot/1.0","info","production","main","","lambda","/","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",36,"iad1",152,2048,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9H820HNCTFBHSHR65BV5","l6TULLMyhobz",1
"2025-10-02 01:58:51",1759370331345,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/login","GET","",200,"64ln2-1759370331232-91ccca1a3934","vercel-screenshot/1.0","info","production","main","","edge-middleware","/src/middleware","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"sfo1",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9H6HMBJZMB795ET3XVNH","GiRyeZcQAglq",-1
"2025-10-02 01:58:51",1759370331336,"ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app/","GET","",200,"dkmzt-1759370331264-9cc069e44aaf","vercel-screenshot/1.0","info","production","main","","edge-middleware","/src/middleware","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","ocriador-namrtg6t5-jeanmnorhens-projects.vercel.app","dpl_3nSs3eVhSDJMH3RsBWCbYfmeKjXA",-1,"sfo1",-1,-1,"","prj_8zaQqKNXIpjCXEpAaan3ooBCOS9d","","","01K6HA9H689F03X470MZ6QP7TN","GiRyeZcQAglq",-1
